Character	ID	English
Dave	0	Gosh Durnit! My basement flooded again!
Dave	41	I think I have a bucket 'round here somewhere...
Narr	30	Your bucket is over on the shelf. Click on it to add it to your toolbox.
Dave	3	 Not again!
Dave	2	 It's a door to the outside.
Dave	12	 I'm not goin nowhere yet
Dave	44	Oh man... this is going to take forever.
Dave	45	Maybe there's something at Doc's hardware store that can help.
Narr	28	Click on the door to the right to leave your basement.
Dave	6	 This bucket ain't gonna cut it...
Dave	5	That's a lot of water!
Narr	36	Click the door to leave your basement.
Dave	46	 Finally! We got that dang water outta my dang basement!
Dave	47	 I sure hope that never happens again!
Narr	53	 Two weeks later...
Narr	2	"Congratulations! The water level has decreased. However, it is not enough..."
Dave	4	 This is too hard!
Dave	15	I'd better head back to the hardware store.
Dave	13	 This dang thang just ain't enough for the major floodage I get here.
Dave	14	" At this point, I just want to leave this house."
Dave	16	 I should call the realtor for the house up on the hill.
Dave	115	 Phew!
Dave	31	 Are you kidding me?!
Dave	33	That's it.
Dave	60	 I'm done.
Dave	92	 I ain't puttin up with this dang basement any longer!
Dave	100	I bet that house up there on the hill has a basement dryer than a desert!
Dave	103	 I oughtta give that real estate agent a call.
Dave	118	It's broken!
Dave	119	 It's that rusty washer.
Dave	120	 I'd better put the new washer on.
Dave	121	" Whoops, forgot to tighten the washer!"
Dave	50	 This pump is busted!
Dave	56	" The valve is leaking, it looks like there's a rusty washer."
Dave	57	" I don't have the tools to replace it, I need to go to Doc's."
Dave	58	" The valve is leaking, it looks like there's a rusty washer."
Dave	59	" I don't have the tools to replace it, I need to go to Doc's."
Dave	25	I'm pooped! I need some extra muscle.
Dave	26	"I bet my friend Tony could help out, I should give him a call."
Narr	3	You've chosen the correct parts for the pump and the water level has decreased.
Dave	7	Still not enough... I could use some extra hands.
Dave	8	 This isn't any better. I should try different parts.
Narr	62	 Rusty washer removed.
Dave	122	 Where's that new washer?
Dave	123	 That should do it!
Dave	124	" Whoop, gotta take that rusty old washer off before I can put this shiny new one on."
Narr	63	 New washer placed on pump.
Tony	0	Here goes nothing!
